# These data are from the JLab/CLAS analysis detailed in:

#   > P. Ambrozewicz et al. (CLAS Collaboration), Phys. Rev. C 75, 045203 (2007).

# The data are contained in the CLAS database at:

#   > http://clasweb.jlab.org/physicsdb

# The data contained in this file are for the reaction:
#   > e + p --> e' + K+ + Lambda

# The data was acquired at a beam energy of 4.056 GeV and the columns are
# labeled as below.  

# The structure functions are given in units of nb/sr.  The errors list are
# statistical only.  Systematic errors are given in the paper.  Data points
# labeled with * indicate that the data could not be extracted in this
# measurement.

# All questions should be directed to Daniel S. Carman (carman@jlab.org).
# ------------------------------------------------------------------------


$vars: qsquared (GeV^2) & w (GeV) & costhkcm & diff_t+l (nb) & diff_tt_unpol (nb) & diff_tl_unpol (nb)
$const: E_beam 4.056 (GeV)


# Q2       W    cthk     sigU   dsigU    sigTT   dsigTT      sigLT   dsigLT
1.00   1.650   -0.60    63.50    6.14    -7.55    11.62    -30.434    7.439
1.00   1.650   -0.25    68.82    6.75    -9.22    13.31     -9.730    8.726
1.00   1.650    0.05    68.67    6.23    -4.58    11.40    -12.671    6.562
1.00   1.650    0.35    73.37    7.30     8.55    12.10    -25.428    7.934
1.00   1.650    0.65    84.33    6.43    -5.28    11.12    -31.919    6.392
1.00   1.650    0.90   104.00    7.32     6.65    12.31    -18.880    8.019
1.00   1.750   -0.60    51.47    5.02   -16.33     9.34     -0.693    6.477
1.00   1.750   -0.25    67.58    4.68   -12.03     8.85    -31.212    5.558
1.00   1.750    0.05   108.95    5.58   -42.88    10.72    -57.686    6.675
1.00   1.750    0.35   149.10    6.31   -24.83    12.73    -46.938    7.835
1.00   1.750    0.65   201.79   10.46    -0.20    18.41    -62.805   10.847
1.00   1.750    0.90   299.24    9.85     5.65    17.30    -46.867   10.776
1.00   1.850   -0.60     0.0     0.0      0.0      0.0       0.0      0.0
1.00   1.850   -0.25    65.19    4.06    -7.24     8.17    -19.290    5.317
1.00   1.850    0.05    91.44    4.57     2.57     9.37    -40.475    6.109
1.00   1.850    0.35   121.85    5.16   -28.03    10.37    -37.972    6.972
1.00   1.850    0.65   152.78    6.99   -14.10    15.28    -33.800    9.334
1.00   1.850    0.90   226.41    8.24    14.38    15.29    -21.029    9.235
1.00   1.950   -0.60    32.43    6.60     0.99    12.14      2.447    9.970
1.00   1.950   -0.25    36.33    3.07   -13.11     6.59     -7.453    4.243
1.00   1.950    0.05    63.56    3.24   -25.56     6.85    -28.468    3.932
1.00   1.950    0.35    85.36    3.94   -44.12     6.94    -44.618    4.610
1.00   1.950    0.65   125.87    6.27   -41.50    14.81    -32.569    9.843
1.00   1.950    0.90   215.60    9.46    13.11    18.33    -21.850   10.706
1.00   2.050   -0.60     0.0     0.0      0.0      0.0       0.0      0.0
1.00   2.050   -0.25    21.17    2.22    -3.66     5.19    -11.625    3.267
1.00   2.050    0.05    46.38    2.71   -10.10     6.24    -10.310    3.762
1.00   2.050    0.35    62.02    3.86   -35.53     7.73    -26.941    5.459
1.00   2.050    0.65   104.03    6.07   -25.10    14.30    -29.882   10.225
1.00   2.050    0.90   189.89   10.95   -21.38    21.85     -9.009   13.336
1.00   2.150   -0.60     0.0     0.0      0.0      0.0       0.0      0.0
1.00   2.150   -0.25    12.25    1.67     0.80     4.10     -7.934    2.673
1.00   2.150    0.05    29.44    2.13     0.05     5.48    -11.257    3.168
1.00   2.150    0.35    42.00    3.29   -30.99     7.62     -7.495    5.119
1.00   2.150    0.65    85.27    6.60   -20.47    15.59    -15.344   11.837
1.00   2.150    0.90   138.05   12.93   -31.09    32.34    -66.793   20.478
1.00   2.250   -0.60     3.62    1.94     3.64     4.27     -1.584    3.479
1.00   2.250   -0.25     5.37    1.26    -0.09     3.58     -3.026    2.150
