# These data are from the JLab/CLAS analysis detailed in:

#   > P. Ambrozewicz et al. (CLAS Collaboration), Phys. Rev. C 75, 045203 (2007).

# The data are contained in the CLAS database at:

#   > http://clasweb.jlab.org/physicsdb

# The data contained in this file are for the reaction:
#   > e + p --> e' + K+ + Sigma0

# The data was acquired at a beam energy of 2.567 GeV and the columns are
# labeled as below.

# The structure functions are given in units of nb/sr.  The errors list are
# statistical only.  Systematic errors are given in the paper.  Data points
# labeled with 0 indicate that the data could not be extracted in this
# measurement.

# All questions should be directed to Daniel S. Carman (carman@jlab.org).
# ***********************************************************************


$vars: qsquared (GeV^2) & w (GeV) & costhkcm & diff_t+l (nb) & diff_tt_unpol (nb) & diff_tl_unpol (nb)
$const: E_beam 2.567 (GeV)


#  Q2       W    cthk    sigU   dsigU    sigTT   dsigTT       sigLT   dsigLT
0.650   1.725   -0.60   13.60    5.77     4.55    13.44       9.079    9.914
0.650   1.725   -0.25   14.20    5.25     1.86    11.86       4.653    8.740
0.650   1.725    0.05   23.77    4.89    -1.04    10.96      10.720    8.457
0.650   1.725    0.35   21.47    4.66     1.54    11.19      -1.513    7.778
0.650   1.725    0.65   33.89    6.95     6.78    15.21      17.112   11.328
0.650   1.725    0.90   17.27    5.63   -15.63    12.14      -3.224    7.481
0.650   1.775   -0.60   17.16    4.36    -2.17    10.77      -1.061    6.548
0.650   1.775   -0.25   40.59    4.24   -19.51    10.49       2.051    6.223
0.650   1.775    0.05   47.74    4.71   -13.12    10.29       0.665    7.566
0.650   1.775    0.35   48.37    6.34   -39.04    14.66      -3.055   11.370
0.650   1.775    0.65   47.93    7.03   -19.76    18.05      -9.885   13.294
0.650   1.775    0.90   43.33    7.52    -5.58    18.27       0.537   10.663
0.650   1.825   -0.60   42.58    4.47    -5.23    12.16       4.087    7.029
0.650   1.825   -0.25   66.96    4.11   -32.80    11.19       9.631    6.194
0.650   1.825    0.05   79.53    4.54   -44.47    11.55      -0.141    7.368
0.650   1.825    0.35   85.89    5.83   -45.79    14.28     -19.219   10.380
0.650   1.825    0.65   73.31    7.43   -12.51    19.31       1.018   14.425
0.650   1.825    0.90   59.05    9.66   -20.18    23.23     -16.504   15.047
0.650   1.875   -0.60   37.77    4.24   -33.68    13.18       5.204    7.566
0.650   1.875   -0.25   91.99    4.20   -64.93    12.76       2.687    6.859
0.650   1.875    0.05  110.48    4.48   -75.89    12.71      -3.196    7.340
0.650   1.875    0.35  116.35    5.32   -47.19    14.83     -10.225    9.263
0.650   1.875    0.65   83.41    7.99   -75.53    22.19     -32.018   16.476
0.650   1.875    0.90   63.42    9.82    11.26    25.95       1.626   17.253
0.650   1.925   -0.60   39.25    3.94   -27.57    13.78      25.541    7.651
0.650   1.925   -0.25   76.54    3.78   -45.26    12.98       3.790    6.944
0.650   1.925    0.05  102.15    4.07   -51.88    13.46       0.820    7.453
0.650   1.925    0.35   95.27    4.45   -31.10    14.58     -21.114    8.358
0.650   1.925    0.65   80.52    7.90     9.22    23.69      -9.447   17.126
0.650   1.925    0.90   55.45   17.87     9.07    47.57     -18.611   38.848
0.650   1.975   -0.60   24.39    2.90    -5.58    11.75       3.479    6.095
0.650   1.975   -0.25   54.04    3.03   -37.64    12.33      -6.760    6.152
0.650   1.975    0.05   75.65    3.46   -17.68    13.86      -4.794    7.099
0.650   1.975    0.35   73.56    3.97   -19.92    15.63      -9.928    8.245
0.650   1.975    0.65   71.42    5.36    -5.14    19.50      -9.334   11.809
0.650   1.975    0.90   66.20   18.24    61.37    59.51      13.548   44.717
0.650   2.050   -0.60   12.71    1.65   -18.31     9.13       0.127    4.356
0.650   2.050   -0.25   27.56    1.71   -28.20     9.66       3.451    4.441
0.650   2.050    0.05   46.18    2.00   -40.75    11.23      -5.530    4.950
0.650   2.050    0.35   48.95    2.38   -16.23    13.08      -6.661    6.081
0.650   2.050    0.65   49.12    3.71    -6.29    18.81     -27.365    9.899
0.650   2.050    0.90   37.90   19.69   -64.51    80.56     -36.218   59.510
1.000   1.725   -0.60    8.58    3.49     3.17    11.21      -1.570    7.241
1.000   1.725   -0.25   11.74    6.39    -4.15    17.61      -0.905   13.251
1.000   1.725    0.05   16.52    3.73    -1.58    10.24       2.701    6.901
1.000   1.725    0.35   19.74    5.44     7.41    13.34       3.437   10.409
1.000   1.725    0.65   16.51    4.26     2.95    10.32       7.877    7.764
1.000   1.725    0.90   13.33    5.11    -6.34    14.21      -1.881    8.471
1.000   1.775   -0.60   14.52    3.58    -2.39    11.05       3.041    6.463
1.000   1.775   -0.25   26.97    3.32    -5.57    10.37       0.523    5.926
1.000   1.775    0.05   31.72    5.64   -10.08    14.83       9.984   11.667
1.000   1.775    0.35   35.73    5.70    -9.70    16.93      -1.146   12.191
1.000   1.775    0.65   30.85    7.54    -5.29    20.75      -9.334   15.825
1.000   1.775    0.90   28.56    6.84     9.52    19.27       2.645   12.290
1.000   1.825   -0.60   32.60    3.52    10.55    12.62      -7.594    6.491
1.000   1.825   -0.25   45.46    3.63   -18.92    12.84       6.237    6.435
1.000   1.825    0.05   54.40    4.14   -19.32    14.11      -4.879    7.948
1.000   1.825    0.35   62.10    5.98    -1.71    19.30       3.196   12.841
1.000   1.825    0.65   40.45    6.73   -28.15    23.25     -13.378   15.684
1.000   1.825    0.90   52.97    9.37    -4.58    28.50      28.143   18.738
1.000   1.875   -0.60   36.83    3.77    -0.84    16.33     -25.710    8.358
1.000   1.875   -0.25   59.23    3.79   -37.94    16.09       1.923    7.750
1.000   1.875    0.05   79.34    4.41   -36.72    17.42       6.604    9.334
1.000   1.875    0.35   76.68    5.26   -41.41    21.09     -16.758   11.851
1.000   1.875    0.65   58.10    8.31   -23.82    29.21     -17.126   20.153
1.000   1.875    0.90   36.29   12.80    38.52    46.48       5.346   30.618
1.000   1.925   -0.60   29.06    4.59    -9.61    23.38      -2.517   11.653
1.000   1.925   -0.25   55.56    3.96   -10.71    20.60      -0.339    9.489
1.000   1.925    0.05   70.30    4.21   -45.37    21.47       4.214   10.027
1.000   1.925    0.35   60.60    4.74   -41.70    22.70     -11.003   11.540
1.000   1.925    0.65   50.27    7.06     4.44    33.02      -6.350   19.488
1.000   1.925    0.90   48.95   14.05    25.52    59.69      34.776   38.707
1.000   1.975   -0.60   17.11    3.48   -27.65    23.85      -1.541   10.380
1.000   1.975   -0.25   31.15    3.55   -10.18    24.13      -7.495   10.097
1.000   1.975    0.05   51.37    3.88   -26.63    26.01      -1.626   10.946
1.000   1.975    0.35   40.20    4.16   -21.61    26.91     -13.124   11.752
1.000   1.975    0.65   32.02    7.67   -34.10    46.15     -31.466   24.225
1.000   1.975    0.90   44.99   27.84    16.43   127.44      31.792   90.241
1.000   2.050   -0.60    0       0        0        0          0        0
1.000   2.050   -0.25   20.98    5.01   -49.05    63.89     -24.989   20.775
1.000   2.050    0.05   28.89    5.18    95.74    62.32      35.143   21.722
1.000   2.050    0.35   24.53    4.70    16.15    54.98     -28.581   20.082
1.000   2.050    0.65   33.62    8.79   130.50   109.02      58.577   41.521
1.000   2.050    0.90    0       0        0        0          0        0
