### ### ### ### ### ### ### ### ### ### ### ### ### ###
### Integral Cross Section (cosq_Lam^Lab=0.9-1.0)   ###
###  for the g + d -> Lambda + X reaction           ###
### ### ### ### ### ### ### ### ### ### ### ### ### ###
#
# Eg[GeV]  dEg[GeV]   CS[ub]      dCS[ub]
0.83995    0.01355    0.123281    0.0640302
0.866      0.0125     0.181537    0.0449993
0.8909     0.0124     0.397621    0.0595436
0.91585    0.01255    0.998265    0.0883852
0.94125    0.01285    1.90111     0.123508
0.9667     0.0126     2.20325     0.132132
0.9911     0.0118     2.79532     0.153655
1.01595    0.01305    3.23773     0.163609
1.04185    0.01285    3.52096     0.180041
1.06735    0.01265    3.69712     0.17721
