# These data are from the JLab/CLAS analysis detailed in:

#   > P. Ambrozewicz et al. (CLAS Collaboration), Phys. Rev. C 75, 045203 (2007).

# The data are contained in the CLAS database at:

#   > http://clasweb.jlab.org/physicsdb

# The data contained in this file are for the reaction:
#   > e + p --> e' + K+ + Lambda

# The data was acquired at a beam energy of 2.567 GeV and the columns are
# labeled as below.  

# The structure functions are given in units of nb/sr.  The errors list are
# statistical only.  Systematic errors are given in the paper.  Data points
# labeled with * indicate that the data could not be extracted in this
# measurement.

# All questions should be directed to Daniel S. Carman (carman@jlab.org).
# ------------------------------------------------------------------------


$vars: qsquared (GeV^2) & w (GeV) & costhkcm & diff_t+l (nb) & diff_tt_unpol (nb) & diff_tl_unpol (nb)
$const: E_beam 2.567 (GeV)


# Q2      W    cthk     sigU   dsigU     sigTT  dsigTT      sigLT   dsigLT
0.65   1.65   -0.60    82.46    6.13      1.56   13.00      2.164    9.362
0.65   1.65   -0.25    83.75    5.22    -16.78   11.87     -5.148    8.047
0.65   1.65    0.05    83.54    5.02     -3.73   10.69    -19.346    7.877
0.65   1.65    0.35   107.70    5.45    -17.54   12.29     -1.683    8.400
0.65   1.65    0.65   125.49    7.08    -13.70   14.09    -20.252    9.786
0.65   1.65    0.90   157.40    6.52    -16.38   13.30    -12.176    7.594
0.65   1.75   -0.60    59.51    3.21    -20.59    7.92     -9.744    4.794
0.65   1.75   -0.25    90.16    3.24    -11.33    7.98    -24.126    4.624
0.65   1.75    0.05   139.43    3.97    -25.98    8.91    -52.722    5.926
0.65   1.75    0.35   186.08    5.13    -52.97   11.45    -73.978    8.245
0.65   1.75    0.65   265.46    6.98    -50.31   18.00    -69.862   12.544
0.65   1.75    0.90   374.36    9.64     23.93   21.11    -45.566   13.096
0.65   1.85   -0.60    51.09    2.80     -5.14    8.20     -9.192    4.992
0.65   1.85   -0.25    76.86    2.38     -6.03    6.97    -21.142    3.917
0.65   1.85    0.05   102.95    2.63    -21.69    7.28    -34.309    4.257
0.65   1.85    0.35   139.96    3.22    -56.35    8.64    -40.885    5.261
0.65   1.85    0.65   188.71    5.84    -41.41   15.71    -42.214   11.469
0.65   1.85    0.90   269.19    8.54     -9.10   21.69    -35.058   14.595
0.65   1.95   -0.60    40.75    1.91      3.59    7.12     -1.612    3.762
0.65   1.95   -0.25    40.89    1.70     -3.64    6.40    -15.090    3.380
0.65   1.95    0.05    66.78    2.01    -22.66    7.35    -19.912    3.861
0.65   1.95    0.35    96.16    2.57    -48.83    9.42    -28.977    4.992
0.65   1.95    0.65   143.78    4.32    -46.02   14.19    -33.192    9.164
0.65   1.95    0.90   198.85   13.72   -110.80   41.85   -127.675   32.230
0.65   2.05   -0.60    22.07    1.70     -1.05    9.19    -13.053    4.370
0.65   2.05   -0.25    21.97    1.42     -6.19    7.91    -23.250    3.705
0.65   2.05    0.05    49.20    1.96    -42.34   10.91    -25.512    4.865
0.65   2.05    0.35    76.05    2.68    -40.28   14.90    -21.850    6.774
0.65   2.05    0.65   111.56    4.09    -92.90   20.82    -39.230   10.691
0.65   2.05    0.90   176.27   19.64    -20.54   83.25    -92.815   58.195
1.00    1.65   -0.60    74.74    5.12   -11.00    13.36    -1.499    9.093
1.00    1.65   -0.25    72.06    4.17   -10.94    10.86    -2.447    7.014
1.00    1.65    0.05    77.07    4.79    -7.58    12.00    -8.217    8.528
1.00    1.65    0.35    87.66    4.70    14.09    11.34    -3.239    7.990
1.00    1.65    0.65   104.55    5.26   -11.85    12.14   -14.962    8.273
1.00    1.65    0.90   123.87    5.24   -12.96    12.63    -8.301    7.297
1.00    1.75   -0.60    51.06    2.78    -2.44     8.66    -5.728    4.978
1.00    1.75   -0.25    79.63    2.84    -7.05     8.84   -35.143    4.851
1.00    1.75    0.05   112.87    3.65   -17.22    10.56   -42.992    6.491
1.00    1.75    0.35   154.53    4.88   -33.62    14.44   -67.543    9.475
1.00    1.75    0.65   242.93    7.24     9.83    20.99   -41.097   14.496
1.00    1.75    0.90   307.79    8.04     1.05    21.97   -33.800   13.477
1.00    1.85   -0.60    42.46    2.50    17.10     9.85   -21.694    5.402
1.00    1.85   -0.25    60.55    2.24     6.95     8.96   -27.775    4.540
1.00    1.85    0.05    83.04    2.59   -24.49     9.69   -28.765    5.162
1.00    1.85    0.35   118.34    3.40   -37.15    12.54   -43.176    7.142
1.00    1.85    0.65   160.43    6.14   -30.93    21.50   -32.781   14.425
1.00    1.85    0.90   222.04    9.13    31.75    29.88   -30.349   19.785
1.00    1.95   -0.60    27.86    2.14    23.66    12.55   -10.310    5.643
1.00    1.95   -0.25    29.76    2.02    13.07    11.99   -10.790    5.402
1.00    1.95    0.05    47.58    2.22   -23.94    12.91   -16.518    5.600
1.00    1.95    0.35    77.61    3.03   -57.49    17.13   -26.686    7.594
1.00    1.95    0.65   106.40    5.57   -55.23    28.58   -48.960   15.811
1.00    1.95    0.90   166.09   19.66    82.34    83.38   -23.052   58.152
1.00    2.05   -0.60     0.00    0.00     1.00     0.00     1.414    0.000
1.00    2.05   -0.25     0.00    0.00     1.00     0.00     1.414    0.000
1.00    2.05    0.05    21.27    5.38   -92.65    78.73   -48.423   25.498
1.00    2.05    0.35    55.47    8.18   -87.37   111.66   -25.074   34.422
