# These data are from the JLab/CLAS analysis detailed in:

#   > P. Ambrozewicz et al. (CLAS Collaboration), Phys. Rev. C 75, 045203 (2007).

# The data are contained in the CLAS database at:

#   > http://clasweb.jlab.org/physicsdb

# The data contained in this file are for the reaction:
#   > e + p --> e' + K+ + Lambda

# The data was acquired at a beam energy of 2.567 GeV and the columns are
# labeled as below.  

# The structure functions are given in units of nb/sr.  The errors list are
# statistical only.  Systematic errors are given in the paper.  Data points
# labeled with * indicate that the data could not be extracted in this
# measurement.

# All questions should be directed to Daniel S. Carman (carman@jlab.org).
# --------------------------------------------------------------------------


$vars: qsquared (GeV^2) & w (GeV) & costhkcm & diff_t+l (nb) & diff_tt_unpol (nb) & diff_tl_unpol (nb)
$const: E_beam 2.567 (GeV)


#  Q2       W    cthk     sigU   dsigU    sigTT   dsigTT      sigLT   dsigLT
0.650   1.650   -0.60    82.46    6.13     1.55    12.99      2.164    9.348
0.650   1.650   -0.25    83.76    5.21   -16.79    11.85     -5.134    8.033
0.650   1.650    0.05    83.55    5.02    -3.74    10.67    -19.361    7.877
0.650   1.650    0.35   107.73    5.43   -17.56    12.26     -1.669    8.386
0.650   1.650    0.65   125.52    7.07   -13.70    14.07    -20.252    9.772
0.650   1.650    0.90   157.45    6.49   -16.31    13.25    -12.106    7.566
0.650   1.725   -0.60    79.90    5.27   -25.07    12.47    -13.435    7.509
0.650   1.725   -0.25    97.30    5.20   -14.96    12.33    -21.199    7.368
0.650   1.725    0.05   137.48    5.77   -33.57    12.03    -54.985    8.174
0.650   1.725    0.35   176.68    8.75   -77.49    20.45    -84.018   15.160
0.650   1.725    0.65   256.28    9.63   -86.99    25.44   -102.530   16.730
0.650   1.725    0.90   371.16   12.97     2.03    28.09    -55.579   16.447
0.650   1.775   -0.60    43.45    4.17   -21.07    10.84     -4.200    6.604
0.650   1.775   -0.25    79.26    3.89    -9.86    10.01    -25.993    5.671
0.650   1.775    0.05   127.46    4.82   -22.60    11.48    -49.695    7.368
0.650   1.775    0.35   167.03    5.97   -42.28    13.38    -73.709    9.518
0.650   1.775    0.65   235.45    8.63   -37.99    22.52    -47.857   15.995
0.650   1.775    0.90   321.09   11.81    27.07    26.54    -49.328   16.872
0.650   1.825   -0.60    45.86    3.85   -13.89    10.72     -4.978    6.562
0.650   1.825   -0.25    81.79    3.52   -16.43     9.88    -28.836    5.515
0.650   1.825    0.05   111.39    3.99   -30.70    10.32    -34.620    6.194
0.650   1.825    0.35   153.29    4.94   -58.63    12.29    -44.237    7.905
0.650   1.825    0.65   196.60    8.00   -51.59    21.40    -47.334   15.344
0.650   1.825    0.90   271.42   11.55    10.68    28.40    -35.426   18.512
0.650   1.875   -0.60    55.21    4.03     3.63    12.42    -13.803    7.509
