# These data are from the JLab/CLAS analysis detailed in:

#   > P. Ambrozewicz et al. (CLAS Collaboration), Phys. Rev. C 75, 045203 (2007).

# The data are contained in the CLAS database at:

#   > http://clasweb.jlab.org/physicsdb

# The data contained in this file are for the reaction:
#   > e + p --> e' + K+ + Sigma0

# The data was acquired at a beam energy of 2.567 GeV and the columns are
# labeled as below.

# The structure functions are given in units of nb/sr.  The errors list are
# statistical only.  Systematic errors are given in the paper.  Data points
# labeled with 0 indicate that the data could not be extracted in this
# measurement.

# All questions should be directed to Daniel S. Carman (carman@jlab.org).
# ***********************************************************************


$vars: qsquared (GeV^2) & w (GeV) & costhkcm & diff_t+l (nb) & diff_tt_unpol (nb) & diff_tl_unpol (nb)
$const: E_beam 2.567 (GeV)


# Q2       W    cthk     sigU   dsigU    sigTT  dsigTT     sigLT   dsigLT
0.65    1.75   -0.60    14.25    3.18    -6.09    7.44     0.339    4.766
0.65    1.75   -0.25    28.98    3.05   -13.88    7.26     0.905    4.525
0.65    1.75    0.05    35.71    3.29    -9.98    7.01     2.744    5.275
0.65    1.75    0.35    34.74    4.33   -19.57    9.70    -3.125    7.608
0.65    1.75    0.65    35.77    5.07   -12.77   11.92    -4.144    9.136
0.65    1.75    0.90    25.96    4.54    -9.64   10.34    -3.592    6.039
0.65    1.85   -0.60    42.30    3.18   -18.28    9.20     3.041    5.317
0.65    1.85   -0.25    83.37    3.08   -52.72    8.83     6.901    4.794
0.65    1.85    0.05   101.23    3.32   -58.43    8.89     0.014    5.374
0.65    1.85    0.35   102.00    4.07   -60.78   10.59   -23.716    7.128
0.65    1.85    0.65    81.70    5.68   -45.42   15.25   -15.669   11.370
0.65    1.85    0.90    59.12    7.65   -20.85   19.16   -19.714   13.209
0.65    1.95   -0.60    32.54    2.53   -17.07    9.46    14.467    5.119
0.65    1.95   -0.25    67.12    2.51   -42.50    9.34    -1.400    4.851
0.65    1.95    0.05    92.54    2.78   -34.11   10.09    -1.103    5.402
0.65    1.95    0.35    87.81    3.12   -27.07   11.18   -16.688    6.166
0.65    1.95    0.65    77.26    4.79    -4.87   15.61   -16.009   10.437
0.65    1.95    0.90    52.75   13.60     5.30   39.97   -31.084   31.325
0.65    2.05   -0.60    12.70    1.65   -18.28    9.14     0.099    4.356
0.65    2.05   -0.25    27.56    1.71   -28.21    9.67     3.451    4.441
0.65    2.05    0.05    46.17    2.00   -40.76   11.25    -5.558    4.950
0.65    2.05    0.35    48.94    2.39   -16.21   13.10    -6.689    6.081
0.65    2.05    0.65    45.31    3.85   -25.88   19.55   -38.820   10.366
0.65    2.05    0.90    37.90   19.70   -64.44   80.63   -36.176   59.553
1.00    1.75   -0.60    11.15    2.82     1.60    8.01    -1.273    5.063
1.00    1.75   -0.25    20.97    2.52    -3.82    7.48    -0.092    4.455
1.00    1.75    0.05    23.79    3.81    -7.17    9.69     4.590    7.566
1.00    1.75    0.35    26.87    4.18    -5.83   11.24    -2.713    8.514
1.00    1.75    0.65    22.48    4.76    -1.28   12.07    -3.424    9.433
1.00    1.75    0.90    14.98    4.89    -3.00   13.29    -7.697    8.980
1.00    1.85   -0.60    34.85    2.60     2.26   10.23   -15.131    5.247
1.00    1.85   -0.25    54.57    2.68   -26.61   10.38     1.991    5.077
1.00    1.85    0.05    69.73    3.16   -25.84   11.50     2.921    6.392
1.00    1.85    0.35    70.61    4.04   -24.64   14.51    -8.473    8.839
1.00    1.85    0.65    49.88    5.64   -34.66   19.30   -20.027   13.322
1.00    1.85    0.90    42.34    8.37     5.95   26.56     7.671   18.173
1.00    1.95   -0.60    22.23    3.19   -31.11   18.31     2.177    8.867
1.00    1.95   -0.25    45.47    2.70    -7.12   15.89    -1.615    6.958
1.00    1.95    0.05    62.49    2.93   -38.07   16.89     1.847    7.509
1.00    1.95    0.35    51.93    3.33   -34.08   18.32   -14.348    8.811
1.00    1.95    0.65    41.48    5.71   -14.85   29.05   -22.903   16.843
1.00    1.95    0.90    52.56   12.91    85.77   58.53    62.709   38.495
1.00    2.05   -0.60     0       0        0       0        0        0
1.00    2.05   -0.25    20.97    5.01   -49.03   63.90   -24.975   20.775
1.00    2.05    0.05    30.05    5.07   101.86   62.07    40.256   21.227
1.00    2.05    0.35    24.53    4.70    16.14   55.00   -28.580   20.096
1.00    2.05    0.65    36.64    8.19    68.15   94.56    30.240   38.566
1.00    2.05    0.90     0       0        0       0        0        0
