# These data are from the JLab/CLAS analysis detailed in:

#   > P. Ambrozewicz et al. (CLAS Collaboration), Phys. Rev. C 75, 045203 (2007).

# The data are contained in the CLAS database at:

#   > http://clasweb.jlab.org/physicsdb

# The data contained in this file are for the reaction:
#   > e + p --> e' + K+ + Sigma0

# The data was acquired at a beam energy of 4.056 GeV and the columns are
# labeled as below.

# The structure functions are given in units of nb/sr.  The errors list are
# statistical only.  Systematic errors are given in the paper.  Data points
# labeled with 0 indicate that the data could not be extracted in this
# measurement.

# All questions should be directed to Daniel S. Carman (carman@jlab.org).
# ***********************************************************************


$vars: qsquared (GeV^2) & w (GeV) & costhkcm & diff_t+l (nb) & diff_tt_unpol (nb) & diff_tl_unpol (nb)
$const: E_beam 4.056 (GeV)


# Q2       W    cthk    sigU   dsigU    sigTT  dsigTT      sigLT   dsigLT
1.00   1.750   -0.60   14.96    4.54     9.72    8.33      8.895    6.124
1.00   1.750   -0.25   18.83    4.48    -1.92    8.92     11.681    5.954
1.00   1.750    0.05   22.08    4.02    -9.92    7.96      1.471    4.667
1.00   1.750    0.35   16.12    4.42    -3.46    8.29      1.089    5.275
1.00   1.750    0.65   20.90    5.99    -1.32    9.79      1.089    6.053
1.00   1.750    0.90   12.25    6.02     6.91   10.59      1.725    6.491
1.00   1.850   -0.60   33.42    4.95   -17.63    9.86      8.712    6.548
1.00   1.850   -0.25   61.05    5.20   -29.02   10.12     11.978    6.406
1.00   1.850    0.05   67.27    6.10   -46.76   12.78     -6.208    8.782
1.00   1.850    0.35   59.34    5.68   -20.37   11.40     -4.497    7.877
1.00   1.850    0.65   42.39    7.19    -9.72   15.59    -11.186    9.857
1.00   1.850    0.90   31.69    7.23     1.20   13.77     -7.905    7.792
1.00   1.950   -0.60   17.95    7.33   -11.11   14.96      6.406   11.512
1.00   1.950   -0.25   51.99    4.04   -27.71    8.52      6.930    5.317
1.00   1.950    0.05   66.14    4.24   -15.92    8.90     -4.653    5.416
1.00   1.950    0.35   58.68    5.74   -29.96   10.83    -10.281    8.344
1.00   1.950    0.65   44.60    6.60    -2.25   14.87    -15.938   10.324
1.00   1.950    0.90   29.48   10.02    18.96   18.69     -9.504   11.172
1.00   2.050   -0.60    0       0        0       0         0        0
1.00   2.050   -0.25   19.35    2.49    -3.66    5.80      6.350    3.620
1.00   2.050    0.05   31.34    3.02   -10.56    6.80      0.339    4.186
1.00   2.050    0.35   31.91    4.35    -5.86    8.50     -8.103    6.477
1.00   2.050    0.65   34.09    6.47    -5.94   14.51    -16.051   10.635
1.00   2.050    0.90   47.63   13.80     8.80   26.98      4.426   18.088
1.00   2.150   -0.60    7.75    3.75     3.10    8.66     -2.616    6.576
1.00   2.150   -0.25   12.69    1.84    -1.65    4.72      2.404    2.885
1.00   2.150    0.05   21.46    2.34     7.20    5.98     -1.711    3.437
1.00   2.150    0.35   25.05    3.49    -5.24    7.98     -9.348    5.530
1.00   2.150    0.65   26.36    7.33    -7.04   17.41      3.635   13.265
1.00   2.150    0.90   26.42   27.03    20.84   51.73     17.918   40.871
1.00   2.250   -0.60    7.53    3.37    -0.04    9.48      0.495    6.802
1.00   2.250   -0.25    7.47    1.75     2.89    5.04      2.574    3.041
1.00   2.250    0.05   14.34    2.37     1.65    6.96      3.932    3.988
1.00   2.250    0.35   19.58    3.70    -0.83   10.88     -4.002    6.477
1.00   2.250    0.65   25.01    6.23    -9.21   15.09      0.269   10.932
1.00   2.250    0.90   74.19   20.34    84.11   57.29     74.430   41.380
1.00   2.350   -0.60    4.73    3.43    -5.06   13.13      0.424    8.273
1.00   2.350   -0.25    5.82    1.51     7.77    5.34     -3.932    2.956
1.00   2.350    0.05    8.35    2.10     0.13    7.35     -0.311    4.200
1.00   2.350    0.35   11.35    3.22     0.25   12.03      1.146    6.095
1.00   2.350    0.65   27.55    6.55     1.55   19.61      2.984   13.435
1.00   2.350    0.90   40.78   12.56   -34.35   54.43    -23.320   26.601
1.55   1.750   -0.60    6.28    2.72    -0.38    5.89      1.485    3.012
1.55   1.750   -0.25   13.65    3.34     2.91    7.98     -0.792    5.360
1.55   1.750    0.05   11.97    2.89     1.96    6.28     -0.184    3.620
